acc,gene
Q5FYB1,ARSI
Q5FYB0,ARSJ
Q6UWY0,ARSK
P51690,ARSL
P52961,ART1
Q13508,ART3
Q93070,ART4
Q96L15,ART5
Q5T4W7,ARTN
Q9H2C2,ARV1
O00192,ARVCF
Q96QS3,ARX
Q9HBK9,AS3MT
Q13510,ASAH1
Q9NR71,ASAH2
P0C7U1,ASAH2B
Q9ULH1,ASAP1
O43150,ASAP2
Q8TDY4,ASAP3
Q9Y576,ASB1
Q8WXI3,ASB10
Q8WXH4,ASB11
Q8WXK4,ASB12
Q8WXK3,ASB13
A6NK59,ASB14
Q8WXK1,ASB15
Q96NS5,ASB16
Q495Z4,ASB16-AS1
Q8WXJ9,ASB17
Q6ZVZ8,ASB18
Q96Q27,ASB2
Q9Y575,ASB3
Q9Y574,ASB4
Q8WWX0,ASB5
Q9NWX5,ASB6
Q9H672,ASB7
Q9H765,ASB8
Q96DX5,ASB9
Q8N9N2,ASCC1
Q9H1I8,ASCC2
Q8N3C0,ASCC3
P50553,ASCL1
Q99929,ASCL2
Q9NQ33,ASCL3
Q6XD76,ASCL4
Q7RTU5,ASCL5
L0R819,ASDURF
Q9Y294,ASF1A
Q9NVP2,ASF1B
P07306,ASGR1
P07307,ASGR2
Q9NR48,ASH1L
Q9UBL3,ASH2L
P78348,ASIC1
Q16515,ASIC2
Q9UHC3,ASIC3
Q96FT7,ASIC4
Q9NY37,ASIC5
P42127,ASIP
P04424,ASL
P46597,ASMT
O95671,ASMTL
P08243,ASNS
Q9NWL6,ASNSD1
P45381,ASPA
A6ND91,ASPDH
Q86U10,ASPG
Q12797,ASPH
Q5U4P2,ASPHD1
Q6ICH7,ASPHD2
Q8IZT6,ASPM
Q9BXN1,ASPN
Q53RT3,ASPRV1
Q9BZE9,ASPSCR1
Q7L266,ASRGL1
P00966,ASS1
Q2TB18,ASTE1
Q6HA08,ASTL
O14525,ASTN1
O75129,ASTN2
Q8IXJ9,ASXL1
Q76L83,ASXL2
Q9C0F0,ASXL3
Q8WWH4,ASZ1
Q8NBU5,ATAD1
Q6PL18,ATAD2
Q9ULI0,ATAD2B
Q9NVI7,ATAD3A
Q5T9A4,ATAD3B
Q5T2N8,ATAD3C
Q96QE3,ATAD5
Q5SQI0,ATAT1
Q86WG3,ATCAY
O95260,ATE1
P18846,ATF1
P15336,ATF2
P18847,ATF3
P18848,ATF4
Q9Y2D1,ATF5
P18850,ATF6
Q99941,ATF6B
P17544,ATF7
Q6VMQ6,ATF7IP
Q5U623,ATF7IP2
Q9H0Y0,ATG10
Q9BSB4,ATG101
O94817,ATG12
O75143,ATG13
Q6ZNE5,ATG14
Q676U5,ATG16L1
Q8NAA4,ATG16L2
Q2TAZ0,ATG2A
Q96BY7,ATG2B
Q9NT62,ATG3
Q8WYN0,ATG4A
Q9Y4P1,ATG4B
Q96DT6,ATG4C
Q86TL0,ATG4D
Q9H1Y0,ATG5
O95352,ATG7
Q7Z3C6,ATG9A
Q674R7,ATG9B
P31939,ATIC
Q8WXF7,ATL1
Q8NHH9,ATL2
Q6DD88,ATL3
Q13315,ATM
O43313,ATMIN
P54259,ATN1
Q92858,ATOH1
Q8N100,ATOH7
Q96SQ7,ATOH8
O00244,ATOX1
O60312,ATP10A
O94823,ATP10B
Q9P241,ATP10D
P98196,ATP11A
Q6ZP68,ATP11AUN
Q9Y2G3,ATP11B
Q8NB49,ATP11C
P54707,ATP12A
Q9HD20,ATP13A1
Q9NQ11,ATP13A2
Q9H7F0,ATP13A3
Q4VNC1,ATP13A4
Q4VNC0,ATP13A5
P05023,ATP1A1
Q5TC04,ATP1A1-AS1
P50993,ATP1A2
P13637,ATP1A3
Q13733,ATP1A4
P05026,ATP1B1
P14415,ATP1B2
P54709,ATP1B3
Q9UN42,ATP1B4
Q9Y6H3,ATP23
O14983,ATP2A1
P16615,ATP2A2
Q93084,ATP2A3
P20020,ATP2B1
Q01814,ATP2B2
Q16720,ATP2B3
P23634,ATP2B4
P98194,ATP2C1
O75185,ATP2C2
P20648,ATP4A
P51164,ATP4B
P25705,ATP5F1A
P06576,ATP5F1B
P36542,ATP5F1C
P30049,ATP5F1D
P56381,ATP5F1E
Q5VTU8,ATP5F1EP2
Q9UII2,ATP5IF1
P05496,ATP5MC1
Q06055,ATP5MC2
P48201,ATP5MC3
Q96IX5,ATP5MD
P56385,ATP5ME
P56134,ATP5MF
O75964,ATP5MG
Q7Z4Y8,ATP5MGL
P56378,ATP5MPL
P24539,ATP5PB
O75947,ATP5PD
P18859,ATP5PF
P48047,ATP5PO
Q15904,ATP6AP1
Q52LC2,ATP6AP1L
O75787,ATP6AP2
Q93050,ATP6V0A1
Q9Y487,ATP6V0A2
Q9HBG4,ATP6V0A4
Q99437,ATP6V0B
P27449,ATP6V0C
P61421,ATP6V0D1
Q8N8Y2,ATP6V0D2
O15342,ATP6V0E1
Q8NHE4,ATP6V0E2
P38606,ATP6V1A
P15313,ATP6V1B1
P21281,ATP6V1B2
P21283,ATP6V1C1
Q8NEY4,ATP6V1C2
Q9Y5K8,ATP6V1D
P36543,ATP6V1E1
Q96A05,ATP6V1E2
Q16864,ATP6V1F
A0A1B0GUX0,ATP6V1FNB
O75348,ATP6V1G1
O95670,ATP6V1G2
Q96LB4,ATP6V1G3
Q9UI12,ATP6V1H
Q04656,ATP7A
P35670,ATP7B
Q9Y2Q0,ATP8A1
Q9NTI2,ATP8A2
O43520,ATP8B1
P98198,ATP8B2
O60423,ATP8B3
Q8TF62,ATP8B4
O75110,ATP9A
O43861,ATP9B
Q5TC12,ATPAF1
Q8N5M1,ATPAF2
Q6P4H8,ATPSCKMT
Q13535,ATR
Q6UW56,ATRAID
Q8WXE1,ATRIP
O75882,ATRN
Q5VV63,ATRNL1
P46100,ATRX
P54253,ATXN1
Q9UBB4,ATXN10
P0C7T5,ATXN1L
Q99700,ATXN2
Q8WWM7,ATXN2L
P54252,ATXN3
Q9H3M9,ATXN3L
O15265,ATXN7
Q9ULK2,ATXN7L1
Q5T6C5,ATXN7L2
Q14CW9,ATXN7L3
Q96GX2,ATXN7L3B
Q156A1,ATXN8
P0DMR3,ATXN8OS
Q13825,AUH
Q9H7T9,AUNIP
Q9Y679,AUP1
O14965,AURKA
Q9NWT8,AURKAIP1
Q96GD4,AURKB
Q9UQB9,AURKC
Q8WXX7,AUTS2
Q9NQS1,AVEN
O75366,AVIL
Q8NBF6,AVL9
P01185,AVP
Q5T686,AVPI1
P37288,AVPR1A
P47901,AVPR1B
P30518,AVPR2
Q58HT5,AWAT1
Q6E213,AWAT2
Q5T1B0,AXDND1
O15169,AXIN1
Q9Y2T1,AXIN2
P30530,AXL
P25311,AZGP1
Q9H6S1,AZI2
O14977,AZIN1
Q96A70,AZIN2
P20160,AZU1
P61769,B2M
O75752,B3GALNT1
Q8NCR0,B3GALNT2
Q9Y5Z6,B3GALT1
O43825,B3GALT2
O96024,B3GALT4
Q9Y2C3,B3GALT5
P59052,B3GALT5-AS1
Q96L58,B3GALT6
Q9P2W7,B3GAT1
Q9NPZ5,B3GAT2
O94766,B3GAT3
Q6Y288,B3GLCT
Q9NY97,B3GNT2
Q9Y2A9,B3GNT3
Q9C0J1,B3GNT4
Q9BYG0,B3GNT5
Q6ZMB0,B3GNT6
Q8NFL0,B3GNT7
Q7Z7M8,B3GNT8
Q6UX72,B3GNT9
Q67FW5,B3GNTL1
Q00973,B4GALNT1
Q8NHY0,B4GALNT2
Q6L9W6,B4GALNT3
Q76KP1,B4GALNT4
P15291,B4GALT1
O60909,B4GALT2
O60512,B4GALT3
O60513,B4GALT4
O43286,B4GALT5
Q9UBX8,B4GALT6
Q9UBV7,B4GALT7
O43505,B4GAT1
Q9UPM9,B9D1
Q9BPU9,B9D2
Q8WXS3,BAALC
P0C853,BAALC-AS2
Q14032,BAAT
Q9NWV8,BABAM1
Q9NXR7,BABAM2
P56817,BACE1
Q9Y5Z0,BACE2
O14867,BACH1
Q9BYV9,BACH2
Q92934,BAD
Q99933,BAG1
O95816,BAG2
O95817,BAG3
O95429,BAG4
Q9UL15,BAG5
P46379,BAG6
Q13072,BAGE
Q86Y30,BAGE2
Q86Y29,BAGE3
Q86Y28,BAGE4
Q86Y27,BAGE5
Q9P281,BAHCC1
Q8TBE0,BAHD1
Q9UQB8,BAIAP2
Q9UHR4,BAIAP2L1
Q6UXY1,BAIAP2L2
O94812,BAIAP3
Q16611,BAK1
Q13145,BAMBI
O75531,BANF1
Q9H503,BANF2
Q8NDB2,BANK1
Q8N9N5,BANP
Q92560,BAP1
Q8IXM2,BAP18
Q99728,BARD1
Q6ZT62,BARGIN
Q9BZE3,BARHL1
Q9NY43,BARHL2
Q9HBU1,BARX1
Q9UMQ3,BARX2
P80723,BASP1
Q16520,BATF
Q8N1L9,BATF2
Q9NR55,BATF3
Q07812,BAX
Q9NRL2,BAZ1A
Q9UIG0,BAZ1B
Q9UIF9,BAZ2A
Q9UIF8,BAZ2B
Q9BXH1,BBC3
Q96PG8,BBC3
A8MTZ0,BBIP1
Q8ND07,BBOF1
O75936,BBOX1
Q8NFJ9,BBS1
Q8TAM1,BBS10
Q6ZW61,BBS12
Q9BXC9,BBS2
Q96RK4,BBS4
Q8N3I7,BBS5
Q8IWZ6,BBS7
Q3SYG4,BBS9
Q8WY36,BBX
P50895,BCAM
Q96GW7,BCAN
Q9UHQ4,BCAP29
P51572,BCAP31
P56945,BCAR1
O75815,BCAR3
O75363,BCAS1
O75934,BCAS2
Q9H6U6,BCAS3
Q8TDM0,BCAS4
P54687,BCAT1
O15382,BCAT2
Q9P287,BCCIP
Q7Z5W3,BCDIN3D
O60756,BCE1
P06276,BCHE
P12694,BCKDHA
P21953,BCKDHB
O14874,BCKDK
O95999,BCL10
Q9H165,BCL11A
Q9C0K0,BCL11B
P10415,BCL2
Q16548,BCL2A1
Q07817,BCL2L1
Q9HD36,BCL2L10
O43521,BCL2L11
Q9HB09,BCL2L12
Q9BXK5,BCL2L13
Q9BZR8,BCL2L14
Q5TBC7,BCL2L15
Q92843,BCL2L2
P20749,BCL3
P41182,BCL6
Q8N143,BCL6B
Q4VC05,BCL7A
Q9BQE9,BCL7B
Q8WUZ0,BCL7C
O00512,BCL9
Q86UU0,BCL9L
Q9NYF8,BCLAF1
A2AJT9,BCLAF3
Q9HAY6,BCO1
Q9BYV7,BCO2
Q6W2J9,BCOR
Q5H9F3,BCORL1
Q8N888,BCORP1
P11274,BCR
Q9Y276,BCS1L
Q02338,BDH1
Q9BUT1,BDH2
P46663,BDKRB1
P30411,BDKRB2
P23560,BDNF
A6H8Y1,BDP1
Q3B7T3,BEAN1
Q14457,BECN1
A8MW95,BECN2
Q9BUH8,BEGAIN
Q8NDZ0,BEND2
Q5T5X7,BEND3
Q6ZU67,BEND4
Q7L4P6,BEND5
Q5SZJ8,BEND6
Q8N7W2,BEND7
O76090,BEST1
Q8NFU1,BEST2
Q8N1M1,BEST3
Q8NFU0,BEST4
O15155,BET1
Q9NYM9,BET1L
Q9HBH7,BEX1
Q9BXY8,BEX2
Q00994,BEX3
Q9NWD9,BEX4
Q5H9J7,BEX5
Q9NZS9,BFAR
Q12934,BFSP1
Q13515,BFSP2
P02818,BGLAP
P21810,BGN
Q7RTS1,BHLHA15
Q7RTU4,BHLHA9
Q6PI77,BHLHB9
Q8NFJ8,BHLHE22
Q8NDY6,BHLHE23
O14503,BHLHE40
Q9C0J9,BHLHE41
C9JSJ3,BHMG1
Q93088,BHMT
Q9H2M3,BHMT2
Q9H694,BICC1
Q96G01,BICD1
Q8TD16,BICD2
Q6ZP65,BICDL1
A1A5D9,BICDL2
Q9NZM4,BICRA
Q6AI39,BICRAL
P55957,BID
Q13323,BIK
O00499,BIN1
Q9UBW5,BIN2
Q9NQY0,BIN3
Q13490,BIRC2
Q13489,BIRC3
O15392,BIRC5
Q9NR09,BIRC6
Q96CA5,BIRC7
Q96P09,BIRC8
Q86UB2,BIVM
A4D250,BLACE
P62952,BLCAP
Q8IZY5,BLID
P51451,BLK
P54132,BLM
Q13867,BLMH
Q8WV28,BLNK
P78537,BLOC1S1
Q6QNY1,BLOC1S2
Q6QNY0,BLOC1S3
Q9NUP1,BLOC1S4
Q8TDH9,BLOC1S5
Q9UL45,BLOC1S6
P53004,BLVRA
P30043,BLVRB
Q9H2G9,BLZF1
Q96MC5,BMERB1
Q96LC9,BMF
P35226,BMI1
P13497,BMP1
O95393,BMP10
O95972,BMP15
P12643,BMP2
Q9NSY1,BMP2K
Q5H9B9,BMP2KL
P12645,BMP3
P12644,BMP4
P22003,BMP5
P22004,BMP6
P18075,BMP7
Q7Z5Y6,BMP8A
P34820,BMP8B
Q8N8U9,BMPER
P36894,BMPR1A
O00238,BMPR1B
Q13873,BMPR2
Q14692,BMS1
Q1RMZ1,BMT2
P51813,BMX
Q01954,BNC1
Q6ZN30,BNC2
Q12981,BNIP1
Q12982,BNIP2
Q12983,BNIP3
O60238,BNIP3L
P0C671,BNIP5
Q7Z465,BNIPL
Q9BWV1,BOC
Q96IK1,BOD1
Q8NFC6,BOD1L1
Q8IYS8,BOD1L2
Q9UMX3,BOK
Q9Y3E2,BOLA1
Q9H3K6,BOLA2
Q53S33,BOLA3
Q8N9W6,BOLL
Q14137,BOP1
Q6PGQ7,BORA
Q969J3,BORCS5
Q96GS4,BORCS6
Q96B45,BORCS7
Q96FH0,BORCS8
Q9GZL8,BPESC1
P07738,BPGM
Q86WA6,BPHL
P17213,BPI
Q9NP55,BPIFA1
Q96DR5,BPIFA2
Q9BQP9,BPIFA3
Q86YQ2,BPIFA4P
Q8TDL5,BPIFB1
Q8N4F0,BPIFB2
P59826,BPIFB3
P59827,BPIFB4
Q8NFQ5,BPIFB6
Q8NFQ6,BPIFC
O95861,BPNT1
Q12830,BPTF
O14599,BPY2
P15056,BRAF
Q7Z569,BRAP
Q6PJG6,BRAT1
P38398,BRCA1
P51587,BRCA2
P46736,BRCC3
O95696,BRD1
P25440,BRD2
Q15059,BRD3
A0A1B0GUI7,BRD3OS
O60885,BRD4
Q9NPI1,BRD7
Q9H0E9,BRD8
Q9H8M2,BRD9
Q58F21,BRDT
Q92994,BRF1
Q9HAW0,BRF2
O95415,BRI3
Q8WY22,BRI3BP
Q6PL45,BRICD5
O60477,BRINP1
Q9C0B6,BRINP2
Q76B58,BRINP3
Q9BX63,BRIP1
Q8TDN6,BRIX1
Q8WUW1,BRK1
Q9HCU9,BRMS1
Q5PSV4,BRMS1L
Q5VW32,BROX
P55201,BRPF1
Q9ULD4,BRPF3
P32247,BRS3
Q8TDC3,BRSK1
Q8IWQ3,BRSK2
Q9NSI6,BRWD1
P59051,BRWD1-AS2
Q6RI45,BRWD3
Q96G97,BSCL2
Q9NW68,BSDC1
P35613,BSG
Q9UPA5,BSN
Q8WZ55,BSND
Q075Z2,BSPH1
Q5W0U4,BSPRY
Q10588,BST1
Q10589,BST2
Q3C1V8,BSX
O14981,BTAF1
Q9H0C5,BTBD1
Q9BSF8,BTBD10
A6QL63,BTBD11
Q32M84,BTBD16
A6NE02,BTBD17
B2RXH4,BTBD18
C9JJ37,BTBD19
Q9BX70,BTBD2
Q9Y2F9,BTBD3
Q96KE9,BTBD6
Q9P203,BTBD7
Q5XKL5,BTBD8
Q96Q07,BTBD9
P35070,BTC
P43251,BTD
P20290,BTF3
Q96K17,BTF3L4
P62324,BTG1
P78543,BTG2
Q14201,BTG3
Q9NY30,BTG4
Q06187,BTK
Q7Z6A9,BTLA
Q13410,BTN1A1
Q7KYR7,BTN2A1
Q8WVV5,BTN2A2
Q96KV6,BTN2A3P
O00481,BTN3A1
P78410,BTN3A2
O00478,BTN3A3
A8MVZ5,BTNL10
Q9UIR0,BTNL2
Q6UXE8,BTNL3
Q6UX41,BTNL8
Q6UXG8,BTNL9
Q9Y297,BTRC
O43683,BUB1
O60566,BUB1B
O43684,BUB3
Q9BRD0,BUD13
O43709,BUD23
P41223,BUD31
Q8NE79,BVES
Q5T3Y7,BVES-AS1
Q13895,BYSL
Q7L1Q6,BZW1
Q9Y6E2,BZW2
Q8TEF2,C10orf105
Q8N326,C10orf111
Q5VZT2,C10orf113
Q5SQS8,C10orf120
Q8N4M7,C10orf126
B7Z368,C10orf142
A0A1B0GUT2,C10orf143
Q5T742,C10orf25
Q8N6V4,C10orf53
Q5SWW7,C10orf55
Q5T681,C10orf62
Q8IYJ2,C10orf67
Q8WW14,C10orf82
Q96M02,C10orf90
Q5T1B1,C10orf91
Q9H7T3,C10orf95
Q9H5F2,C11orf1
Q9NQ32,C11orf16
Q9P2W6,C11orf21
Q96F05,C11orf24
Q8WZ69,C11orf40
Q8N5U0,C11orf42
Q8N8P7,C11orf44
Q8TAV5,C11orf45
Q9H6J7,C11orf49
Q96A22,C11orf52
Q8IXP5,C11orf53
Q9H0W9,C11orf54
Q9H3H3,C11orf68
Q6IPW1,C11orf71
Q8NBR9,C11orf72
A6NJI1,C11orf86
Q6NUJ2,C11orf87
Q6PI97,C11orf88
Q3C1V1,C11orf91
C9JXX5,C11orf94
C9JLR9,C11orf95
Q7Z7L8,C11orf96
A0A1B0GVM6,C11orf97
E9PRG8,C11orf98
Q9HB07,C12orf10
Q8N999,C12orf29
Q9NQ89,C12orf4
Q86WS4,C12orf40
Q96LP6,C12orf42
Q8N5I9,C12orf45
Q9H741,C12orf49
Q8NA57,C12orf50
Q6X4T0,C12orf54
Q8IXR9,C12orf56
Q99622,C12orf57
Q5U649,C12orf60
Q9H3J6,C12orf65
Q96MD2,C12orf66
A8MTZ7,C12orf71
Q69YU5,C12orf73
Q32Q52,C12orf74
Q8N812,C12orf76
C9JDV5,C12orf77
A0A1B0GVH6,C13orf42
A0A1B0GUA9,C13orf46
Q9NWQ9,C14orf119
Q9NPU4,C14orf132
Q52M58,C14orf177
Q8N769,C14orf178
Q4W4Y0,C14orf28
Q9H972,C14orf93
Q32M92,C15orf32
Q6ZRI6,C15orf39
Q8WUR7,C15orf40
Q9Y2V0,C15orf41
Q8N8G6,C15orf54
Q8N910,C15orf56
A6NNL5,C15orf61
A8K5M9,C15orf62
H3BRN8,C15orf65
Q6P387,C16orf46
Q6ZP98,C16orf47
Q6UWD8,C16orf54
Q96GQ5,C16orf58
Q9BSU1,C16orf70
Q8IYS4,C16orf71
Q14CZ0,C16orf72
Q96GX8,C16orf74
Q8WTQ4,C16orf78
Q7Z2V1,C16orf82
Q6ZW13,C16orf86
Q6PH81,C16orf87
Q6UX73,C16orf89
A8MZG2,C16orf90
Q96LL3,C16orf92
Q9H693,C16orf95
A6NNT2,C16orf96
H3BN30,C16orf97
A8MU93,C17orf100
A2RUQ5,C17orf102
Q6ZR85,C17orf107
F2Z3M2,C17orf112
A0A1B0GUU1,C17orf113
Q8NEP4,C17orf47
Q8WW18,C17orf50
Q2M2W7,C17orf58
Q86WR6,C17orf64
Q0P5P2,C17orf67
Q9HAS0,C17orf75
Q96MU5,C17orf77
Q8N4C9,C17orf78
Q9BSJ5,C17orf80
Q86X59,C17orf82
A8MV24,C17orf98
Q6UX52,C17orf99
Q96KH6,C18orf12
Q96N68,C18orf15
Q32NC0,C18orf21
Q96B23,C18orf25
Q8TCD1,C18orf32
Q68DL7,C18orf63
Q6ZTR6,C18orf65
Q9NSK7,C19orf12
Q8NEA5,C19orf18
Q9UFG5,C19orf25
Q9H6X5,C19orf44
Q8N9M1,C19orf47
Q6RUI8,C19orf48
Q9UNZ5,C19orf53
Q5BKX5,C19orf54
Q0VDD7,C19orf57
A6NJJ6,C19orf67
A6NCJ1,C19orf71
Q9NVV2,C19orf73
C9J6K1,C19orf81
I3L1E1,C19orf84
A0A1B0GUS0,C19orf85
Q13901,C1D
Q9NS00,C1GALT1
Q96EU7,C1GALT1C1
P0DN25,C1GALT1C1L
Q5SVJ3,C1orf100
O95561,C1orf105
Q9NX04,C1orf109
Q9NSG2,C1orf112
Q9H7X2,C1orf115
Q6ZSJ8,C1orf122
Q8N9H9,C1orf127
Q8NDD1,C1orf131
Q5TEV5,C1orf134
Q5VVS0,C1orf140
Q5JVX7,C1orf141
Q5VVC0,C1orf146
Q96MC9,C1orf147
Q8N1D5,C1orf158
Q96HA4,C1orf159
Q8NEQ5,C1orf162
Q5SNV9,C1orf167
Q8IYL3,C1orf174
Q5T7R7,C1orf185
Q5VU69,C1orf189
Q5T5A4,C1orf194
Q5TG92,C1orf195
B1AJZ1,C1orf196
Q9H425,C1orf198
Q9H246,C1orf21
Q8IVY1,C1orf210
Q8TAB5,C1orf216
Q5T0J3,C1orf220
A1L170,C1orf226
Q6ZS94,C1orf229
A0A0U1RR37,C1orf232
Q9BWL3,C1orf43
Q9BV19,C1orf50
Q8N6N3,C1orf52
Q5VUE5,C1orf53
Q8WWF1,C1orf54
Q13536,C1orf61
Q96LT6,C1orf74
Q8N0U7,C1orf87
Q6P1W5,C1orf94
P02745,C1QA
P02746,C1QB
Q07021,C1QBP
P02747,C1QC
O75973,C1QL1
Q7Z5L3,C1QL2
Q5VWW1,C1QL3
Q86Z23,C1QL4
Q9BXJ1,C1QTNF1
Q5T7M4,C1QTNF12
Q9BXJ5,C1QTNF2
Q9BXJ4,C1QTNF3
Q9BXJ3,C1QTNF4
Q9BXJ0,C1QTNF5
Q9BXI9,C1QTNF6
Q9BXJ2,C1QTNF7
P60827,C1QTNF8
P0C862,C1QTNF9
B2RNN3,C1QTNF9B
P00736,C1R
Q9NZP8,C1RL
P09871,C1S
P06681,C2
Q9NUB4,C20orf141
Q9BQM9,C20orf144
Q96LM9,C20orf173
Q5TEA3,C20orf194
Q8N268,C20orf197
A1L168,C20orf202
Q8NBC4,C20orf203
A0A1B0GTL2,C20orf204
Q9GZN8,C20orf27
Q9BR46,C20orf78
Q9H1P6,C20orf85
Q9NUD7,C20orf96
P58505,C21orf58
Q9NYP8,C21orf62
Q17RA5,C21orf62-AS1
Q8WYQ4,C22orf15
Q9BZE7,C22orf23
Q9Y442,C22orf24
O95567,C22orf31
Q6ZV56,C22orf34
Q6P5X5,C22orf39
Q6IC83,C22orf42
C9J442,C22orf46
Q9Y426,C2CD2
O14523,C2CD2L
Q4AC94,C2CD3
Q8NCU7,C2CD4A
A6NLJ0,C2CD4B
Q8TF44,C2CD4C
B7Z1M9,C2CD4D
Q86YS7,C2CD5
Q53TS8,C2CD6
Q8WU43,C2orf15
Q68DN1,C2orf16
P0DPF5,C2orf27A
P0DPF6,C2orf27B
Q9NWW7,C2orf42
Q96LS8,C2orf48
Q9BVC5,C2orf49
Q96LR7,C2orf50
Q6UXQ4,C2orf66
Q2NKX9,C2orf68
Q8N8R5,C2orf69
A6NCS6,C2orf72
Q8N5S3,C2orf73
A8MZ97,C2orf74
Q3KRA6,C2orf76
A6NCI8,C2orf78
Q0P641,C2orf80
A6NN90,C2orf81
Q53S99,C2orf83
Q9BSF0,C2orf88
Q6ZV80,C2orf91
A0A1B0GVN3,C2orf92
P01024,C3
Q16581,C3AR1
Q9HBI5,C3orf14
Q9UK00,C3orf18
Q8ND61,C3orf20
Q8N5N4,C3orf22
Q6P1S2,C3orf33
Q3SXR2,C3orf36
Q5JPI3,C3orf38
Q96BT1,C3orf49
Q8N813,C3orf56
Q6ZUJ4,C3orf62
Q6ZVT6,C3orf67
A6NLC5,C3orf70
P0CE67,C3orf79
F5H4A9,C3orf80
H3BNL1,C3orf84
A0A1B0GTC6,C3orf85
P0DN24,C3orf86
Q6ZMU1,C3P1
P0C0L4,C4A
P0C0L5,C4B
P04003,C4BPA
P20851,C4BPB
Q53FE4,C4orf17
Q8IY42,C4orf19
Q8WVX3,C4orf3
Q8N1A6,C4orf33
Q96KX1,C4orf36
Q96LM5,C4orf45
Q504U0,C4orf46
A7E2U8,C4orf47
Q5BLP8,C4orf48
Q6ZRC1,C4orf50
C9J302,C4orf51
D6RIA3,C4orf54
P01031,C5
P21730,C5AR1
Q9P296,C5AR2
Q8NAS9,C5orf17
Q49AR2,C5orf22
Q7Z6I8,C5orf24
Q96MH7,C5orf34
Q86SI9,C5orf38
Q6UWT4,C5orf46
Q569G3,C5orf47
A4QMS7,C5orf49
A6NDU8,C5orf51
A6NGY3,C5orf52
Q8N8D9,C5orf56
C9J3I9,C5orf58
A6NFR6,C5orf60
A6NC05,C5orf63
Q2M2E5,C5orf64
Q9H5L9,C5orf66
F2Z3F1,C5orf67
P13671,C6
Q5T5N4,C6orf118
Q7Z4R8,C6orf120
Q5T0Z8,C6orf132
Q5SQH8,C6orf136
Q5SZD1,C6orf141
Q6UXA7,C6orf15
Q5TEZ5,C6orf163
Q7Z4U5,C6orf201
Q8N319,C6orf223
Q5I0X4,C6orf226
O95873,C6orf47
Q9HD87,C6orf50
Q5T4I8,C6orf52
Q9GZU0,C6orf62
Q6UWU4,C6orf89
Q4VX62,C6orf99
P10643,C7
Q9BPX7,C7orf25
Q96N11,C7orf26
Q8N865,C7orf31
Q8WU49,C7orf33
Q9BRJ6,C7orf50
Q8NEG2,C7orf57
Q8IZ16,C7orf61
Q6ZTY9,C7orf65
A4D0T2,C7orf66
Q9H7B7,C7orf69
A4D0Y5,C7orf77
P07357,C8A
P07358,C8B
P07360,C8G
Q9NRJ1,C8orf17
Q8N9H6,C8orf31
Q9H7E9,C8orf33
Q49A92,C8orf34
Q96NL8,C8orf37
Q96CB5,C8orf44
Q96LL4,C8orf48
Q96NF6,C8orf49
Q8NAV2,C8orf58
Q6P047,C8orf74
Q96K31,C8orf76
Q6P1X6,C8orf82
Q6ZUL3,C8orf86
E5RJ46,C8orf87
P0DMB2,C8orf88
P0DMQ9,C8orf89
P02748,C9
Q8NAJ2,C9orf106
Q5BN46,C9orf116
A6NHY6,C9orf118
Q5T035,C9orf129
Q5VYM1,C9orf131
Q5VTT2,C9orf135
Q6ZV77,C9orf139
Q5JTZ5,C9orf152
Q5TBE3,C9orf153
Q9BUW7,C9orf16
Q8N9P6,C9orf163
A2RU37,C9orf170
Q8IXQ3,C9orf40
Q8TAL5,C9orf43
Q6ZRZ4,C9orf47
Q5SZB4,C9orf50
Q5W0N0,C9orf57
Q8N4C0,C9orf62
Q5T6V5,C9orf64
Q5T8R8,C9orf66
Q96LT7,C9orf72
Q9NZ63,C9orf78
Q96MD7,C9orf85
A6NGG3,C9orf92
P00915,CA1
Q9NS85,CA10
O75493,CA11
O43570,CA12
Q8N1Q1,CA13
Q9ULX7,CA14
P00918,CA2
P07451,CA3
P22748,CA4
P35218,CA5A
Q9Y2D0,CA5B
Q8WTZ4,CA5BP1
P23280,CA6
P43166,CA7
P35219,CA8
Q16790,CA9
Q9H8G2,CAAP1
Q9Y376,CAB39
Q9H9S4,CAB39L
Q8IVU9,CABCOCO1
Q9Y6J0,CABIN1
Q8TDN4,CABLES1
Q9BTV7,CABLES2
Q9NZU7,CABP1
Q9NPB3,CABP2
P57796,CABP4
Q9NP86,CABP5
Q86V35,CABP7
Q96KC9,CABS1
O75952,CABYR
Q9UGQ2,CACFD1
Q5VU97,CACHD1
O00555,CACNA1A
Q00975,CACNA1B
Q13936,CACNA1C
Q01668,CACNA1D
Q15878,CACNA1E
O60840,CACNA1F
O43497,CACNA1G
O95180,CACNA1H
Q9P0X4,CACNA1I
Q13698,CACNA1S
P54289,CACNA2D1
Q9NY47,CACNA2D2
Q8IZS8,CACNA2D3
Q7Z3S7,CACNA2D4
Q02641,CACNB1
Q08289,CACNB2
P54284,CACNB3
O00305,CACNB4
Q06432,CACNG1
Q9Y698,CACNG2
O60359,CACNG3
Q9UBN1,CACNG4
Q9UF02,CACNG5
Q9BXT2,CACNG6
P62955,CACNG7
Q8WXS5,CACNG8
Q8WUQ7,CACTIN
Q8N1I8,CACTIN-AS1
Q86Y37,CACUL1
Q9HB71,CACYBP
P27708,CAD
Q9BY67,CADM1
Q8N3J6,CADM2
Q8N126,CADM3
